age_gte,16,18,20,25,30,35,45,55,65,70,75,80,85
age_lt,18,20,25,30,35,45,55,65,70,75,80,85,91
scaled,max,max,max,max,max,max,max,max,max,max,max,max,max
1,2,2,2,2,2,1,1,1,1,1,1,1,1
2,3,3,3,3,3,2,2,2,2,2,2,2,2
3,,,,,,3,3,3,3,3,3,,
4,4,4,4,4,4,,,,,,,3,3
5,,,,,,4,4,4,4,4,4,,
6,5,5,5,5,5,5,5,5,5,5,5,4,4
7,6,6,6,6,6,6,6,6,,,,5,5
8,7,7,7,7,7,7,7,7,6,6,6,6,
9,8,8,8,8,8,8,8,,7,7,7,,6
10,,9,9,9,9,9,9,8,8,8,8,7,
11,9,,10,10,10,10,10,9,9,9,,8,7
12,10,10,,,11,11,,10,10,,9,,8
13,11,11,11,11,,,11,11,,10,,9,
14,,,,,12,12,12,12,11,11,10,10,9
15,12,12,12,12,13,13,13,13,12,12,11,11,10
16,13,13,13,13,14,14,14,14,13,13,12,,11
17,14,14,14,14,,,,,14,14,13,12,
18,15,15,15,15,15,15,15,15,15,15,14,13,12
19,16,16,16,16,16,16,16,16,16,16,16,16,16
