stroopword,stroopword_T,stroopcolor,stroopcolor_T,stroopcolorword,stroopcolorword_T,stroop_interference,stroop_interference_T
0,19,0,19,0,19,-1000,19
48,20,35,20,15,20,-30,20
52,22,38,22,17,22,-28,22
56,24,41,24,19,24,-26,24
60,26,44,26,21,26,-24,26
64,28,47,28,23,28,-22,28
68,30,50,30,25,30,-20,30
72,32,53,32,27,32,-18,32
76,34,56,34,29,34,-16,34
80,36,59,36,31,36,-14,36
84,38,62,38,33,38,-12,38
88,40,65,40,35,40,-10,40
92,42,68,42,37,42,-8,42
96,44,71,44,39,44,-6,44
100,46,74,46,41,46,-4,46
104,48,77,48,43,48,-2,48
108,50,80,50,45,50,0,50
112,52,83,52,47,52,2,52
116,54,86,54,49,54,4,54
120,56,89,56,51,56,6,56
124,58,92,58,53,58,8,58
128,60,95,60,55,60,10,60
132,62,98,62,57,62,12,62
136,64,101,64,59,64,14,64
140,66,104,66,61,66,16,66
144,68,107,68,63,68,18,68
148,70,110,70,65,70,20,70
152,72,113,72,67,72,22,72
156,74,116,74,69,74,24,74
160,76,119,76,71,76,26,76
164,78,122,78,73,78,28,78
168,80,125,80,75,80,30,80
